,US-JP_2Y,US-AU_2Y,US-CA_2Y,US-EU_2Y,US-GB_2Y,US-JP_10Y,US-AU_10Y,US-CA_10Y,US-EU_10Y,US-GB_10Y,US-JP_CPI_YOY,US-AU_CPI_YOY,US-CA_CPI_YOY,US-EU_CPI_YOY,US-GB_CPI_YOY,VIX
2011-08-01,0.38,0.38,0.38,0.38,0.38,1.747,-1.7224999999999997,0.3236363636363597,-1.4380945255561497,-0.01330000000000009,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,23.66
2011-08-02,0.33,0.33,0.33,0.33,0.33,1.6370000000000002,-1.8324999999999996,0.21363636363635985,-1.5480945255561496,-0.12329999999999997,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,24.79
2011-08-03,0.33,0.33,0.33,0.33,0.33,1.6170000000000002,-1.8524999999999996,0.19363636363635983,-1.5680945255561496,-0.14329999999999998,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,23.38
2011-08-04,0.27,0.27,0.27,0.27,0.27,1.4470000000000003,-2.0224999999999995,0.023636363636359903,-1.7380945255561495,-0.3132999999999999,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,31.66
2011-08-05,0.28,0.28,0.28,0.28,0.28,1.5570000000000002,-1.9124999999999996,0.13363636363635978,-1.6280945255561496,-0.20330000000000004,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,32.0
2011-08-08,0.27,0.27,0.27,0.27,0.27,1.377,-2.0925,-0.04636363636364038,-1.8080945255561498,-0.3833000000000002,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,48.0
2011-08-09,0.19,0.19,0.19,0.19,0.19,1.1770000000000003,-2.2924999999999995,-0.24636363636364011,-2.0080945255561495,-0.5832999999999999,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,35.06
2011-08-10,0.19,0.19,0.19,0.19,0.19,1.147,-2.3225,-0.27636363636364036,-2.03809452555615,-0.6133000000000002,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,42.99
2011-08-11,0.19,0.19,0.19,0.19,0.19,1.317,-2.1525,-0.10636363636364043,-1.8680945255561499,-0.44330000000000025,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,39.0
2011-08-12,0.2,0.2,0.2,0.2,0.2,1.2170000000000003,-2.2524999999999995,-0.20636363636364008,-1.9680945255561495,-0.5432999999999999,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,36.36
